n,head,en,bucket,df,gloss_df,score,status,sources
1,정렬,alignment,A,29,2,15.0814,found,IASR 2025 p.218
2,기만,deception,A,18,3,12.7351,multi,IASR 2026 p.150; EU GPAI CoP 안내서 (KO) p.109
3,오정렬,misalignment,A,15,2,6.5999,multi,IASR 2025 p.100; IASR 2026 p.152; IASR 2025 p.223
4,Sabotage,Sabotage,A,13,1,5.7482,found,IASR 2025 p.63
5,환각,hallucination,A,10,1,5.7364,found,IASR 2025 p.222
6,목표 명세 오류,goal misspecification,A,3,2,3.8061,multi,IASR 2025 p.100; IASR 2026 p.151; IASR 2025 p.222
7,아첨,sycophancy,A,7,1,3.7117,multi,IASR 2026 p.154; IASR 2026 p.155
8,Deceptive alignment,Deceptive alignment,A,3,1,3.2366,multi,IASR 2025 p.100; IASR 2025 p.220
9,Pluralistic alignment,Pluralistic alignment,A,3,1,3.0528,found,IASR 2026 p.153
10,평가,evaluation,B,38,7,18.6692,multi,IASR 2025 p.38; IASR 2026 p.150; IASR 2025 p.170; IASR 2025 p.182; IASR 2025 p.221
11,레드팀,red teaming,B,22,4,15.8634,multi,IASR 2026 p.154; IASR 2025 p.182; IASR 2025 p.192; IASR 2025 p.225
12,안전장치,safeguards,B,28,4,15.3372,multi,IASR 2026 p.154; IASR 2025 p.222
13,벤치마크,benchmark,B,27,3,15.0425,multi,IASR 2025 p.38; IASR 2025 p.47; IASR 2026 p.149; IASR 2025 p.182; IASR 2025 p.219
14,Model evaluation,Model evaluation,B,19,2,14.4445,found,EU GPAI CoP 안내서 (KO) p.111
15,감사,audit,B,23,2,13.3067,multi,IASR 2025 p.182; IASR 2025 p.219
16,해석가능성,interpretability,B,20,3,12.2636,multi,IASR 2026 p.152; IASR 2025 p.192; IASR 2025 p.201; IASR 2025 p.223
17,탈옥,jailbreak,B,14,2,6.8328,multi,IASR 2026 p.152; IASR 2025 p.170; IASR 2025 p.182; IASR 2025 p.192; IASR 2025 p.223
18,프롬프트 인젝션,prompt injection,B,8,0,5.4573,found,AI 핵심용어 단면 p.86
19,Interpretability Research,Interpretability Research,B,3,1,3.1274,multi,IASR 2025 p.170; IASR 2025 p.223
20,검증 데이터,검증 데이터,B,2,1,2.476,found,EU GPAI CoP 안내서 (KO) p.13
21,벤치마크 데이터셋,벤치마크 데이터셋,B,2,0,1.861,found,AI 핵심용어 단면 p.45
22,악용,malicious use,C,23,3,15.9157,multi,IASR 2026 p.152; IASR 2025 p.223
23,Adversarial training,Adversarial training,C,7,2,6.4307,multi,IASR 2026 p.148; IASR 2025 p.192; IASR 2025 p.218
24,Insider threats,Insider threats,C,10,1,6.1574,found,EU GPAI CoP 안내서 (KO) p.110
25,Malware,Malware,C,12,2,5.9678,multi,IASR 2025 p.72; IASR 2026 p.152; IASR 2025 p.223
26,Cyberattack,Cyberattack,C,10,3,5.686,found,IASR 2026 p.150
27,Dual-use science,Dual-use science,C,3,2,3.7573,multi,IASR 2025 p.80; IASR 2026 p.150; IASR 2025 p.221
28,Toxin,Toxin,C,4,2,3.3529,multi,IASR 2025 p.80; IASR 2025 p.227
29,Zero-day vulnerability,Zero-day vulnerability,C,4,1,3.2896,multi,IASR 2025 p.72; IASR 2025 p.228
30,능력,capability,D,36,7,18.5456,multi,IASR 2025 p.38; IASR 2025 p.158; IASR 2025 p.219; IASR 2025 p.319
31,에이전트,agent,D,27,2,14.6067,multi,IASR 2025 p.38; IASR 2025 p.47; IASR 2025 p.67; IASR 2025 p.80; IASR 2025 p.80
32,AI 에이전트,AI agent,D,18,2,11.2182,multi,IASR 2025 p.38; IASR 2025 p.47; IASR 2025 p.67; IASR 2025 p.80; IASR 2025 p.100
33,프론티어 AI,frontier AI,D,24,1,9.8184,multi,IASR 2025 p.221; AI 핵심용어 단면 p.84
34,통제 상실,loss of control,D,13,2,8.3113,multi,IASR 2025 p.100; IASR 2026 p.152; IASR 2025 p.223
35,Multi-agent system,Multi-agent system,D,5,1,3.823,found,IASR 2026 p.152
36,Autonomous planning,Autonomous planning,D,2,1,2.476,found,IASR 2026 p.149
37,Fairness,Fairness,E,23,3,13.6023,found,IASR 2025 p.221
38,Algorithmic Transparency,Algorithmic Transparency,E,6,1,4.0717,multi,IASR 2025 p.176; IASR 2025 p.218
39,Institutional transparency,Institutional transparency,E,3,2,4.0106,multi,IASR 2025 p.129; IASR 2026 p.152; IASR 2025 p.176; IASR 2025 p.223
40,인공지능,artificial intelligence,F,43,7,23.8835,multi,인공지능기본법 p.3; IASR 2025 p.219; 기본법 지원데스크 사례집 p.16; 기본법 지원데스크 사례집 p.83; 안정성 확보 가이드라인 p.13
41,생성형 AI,generative AI,F,23,3,13.1047,multi,인공지능기본법 p.3; IASR 2025 p.222; 기본법 지원데스크 사례집 p.16; 기본법 지원데스크 사례집 p.83
42,범용 AI,general-purpose AI,F,21,4,11.7046,multi,IASR 2025 p.221; AI 핵심용어 단면 p.164
